# Continuous evolution trace log
global_time,t,p,v,a
5.055500,1.011100,12.779040,5.055500,1.000000
global_time,t,p,v,a
5.055500,0.000000,12.779040,5.055500,1.000000
5.156610,0.101110,13.295313,5.156610,1.000000
5.257720,0.202220,13.821810,5.257720,1.000000
5.358830,0.303330,14.358529,5.358830,1.000000
5.459940,0.404440,14.905472,5.459940,1.000000
5.561050,0.505550,15.462639,5.561050,1.000000
5.662160,0.606660,16.030028,5.662160,1.000000
5.763270,0.707770,16.607641,5.763270,1.000000
5.864380,0.808880,17.195476,5.864380,1.000000
5.965490,0.909990,17.793535,5.965490,1.000000
6.066600,1.011100,18.401818,6.066600,1.000000
global_time,t,p,v,a
6.066600,0.000000,18.401818,6.066600,1.000000
6.167710,0.101110,19.020323,6.167710,1.000000
6.268820,0.202220,19.649052,6.268820,1.000000
6.369930,0.303330,20.288004,6.369930,1.000000
6.471040,0.404440,20.937179,6.471040,1.000000
6.572150,0.505550,21.596578,6.572150,1.000000
6.673260,0.606660,22.266200,6.673260,1.000000
6.774370,0.707770,22.946044,6.774370,1.000000
6.875480,0.808880,23.636113,6.875480,1.000000
6.976590,0.909990,24.336404,6.976590,1.000000
7.077700,1.011100,25.046919,7.077700,1.000000
global_time,t,p,v,a
7.077700,0.000000,25.046919,7.077700,1.000000
7.178810,0.101110,25.767657,7.178810,1.000000
7.279920,0.202220,26.498618,7.279920,1.000000
7.381030,0.303330,27.239802,7.381030,1.000000
7.482140,0.404440,27.991209,7.482140,1.000000
7.583250,0.505550,28.752840,7.583250,1.000000
7.684360,0.606660,29.524694,7.684360,1.000000
7.785470,0.707770,30.306772,7.785470,1.000000
7.886580,0.808880,31.099072,7.886580,1.000000
7.987690,0.909990,31.901596,7.987690,1.000000
8.088800,1.011100,32.714343,8.088800,1.000000
global_time,t,p,v,a
8.088800,0.000000,32.714343,8.088800,1.000000
8.189910,0.101110,33.537313,8.189910,1.000000
8.291020,0.202220,34.370506,8.291020,1.000000
8.392130,0.303330,35.213923,8.392130,1.000000
8.493240,0.404440,36.067563,8.493240,1.000000
8.594350,0.505550,36.931426,8.594350,1.000000
8.695460,0.606660,37.805512,8.695460,1.000000
8.796570,0.707770,38.689822,8.796570,1.000000
8.897680,0.808880,39.584355,8.897680,1.000000
8.998790,0.909990,40.489111,8.998790,1.000000
9.099900,1.011100,41.404090,9.099900,1.000000
global_time,t,p,v,a
9.099900,0.000000,41.404090,9.099900,1.000000
9.201010,0.101110,42.329293,9.201010,1.000000
9.302120,0.202220,43.264718,9.302120,1.000000
9.403230,0.303330,44.210367,9.403230,1.000000
9.504340,0.404440,45.166239,9.504340,1.000000
9.605450,0.505550,46.132335,9.605450,1.000000
9.706560,0.606660,47.108654,9.706560,1.000000
9.807670,0.707770,48.095195,9.807670,1.000000
9.908780,0.808880,49.091961,9.908780,1.000000
10.009890,0.909990,50.098949,10.009890,1.000000
10.111000,1.011100,51.116160,10.111000,1.000000
global_time,t,p,v,a
10.111000,0.000000,51.116160,10.111000,1.000000
10.212110,0.101110,52.143595,10.212110,1.000000
10.313220,0.202220,53.181253,10.313220,1.000000
10.414330,0.303330,54.229135,10.414330,1.000000
10.515440,0.404440,55.287239,10.515440,1.000000
10.616550,0.505550,56.355567,10.616550,1.000000
10.717660,0.606660,57.434118,10.717660,1.000000
10.818770,0.707770,58.522892,10.818770,1.000000
10.919880,0.808880,59.621890,10.919880,1.000000
11.020990,0.909990,60.731110,11.020990,1.000000
11.122100,1.011100,61.850554,11.122100,1.000000
global_time,t,p,v,a
11.122100,0.000000,61.850554,11.122100,1.000000
11.223210,0.101110,62.980221,11.223210,1.000000
11.324320,0.202220,64.120112,11.324320,1.000000
11.425430,0.303330,65.270225,11.425430,1.000000
11.526540,0.404440,66.430562,11.526540,1.000000
11.627650,0.505550,67.601122,11.627650,1.000000
11.728760,0.606660,68.781906,11.728760,1.000000
11.829870,0.707770,69.972912,11.829870,1.000000
11.930980,0.808880,71.174142,11.930980,1.000000
12.032090,0.909990,72.385595,12.032090,1.000000
12.133200,1.011100,73.607271,12.133200,1.000000
global_time,t,p,v,a
12.133200,0.000000,73.607271,12.133200,1.000000
12.234310,0.101110,74.839171,12.234310,1.000000
12.335420,0.202220,76.081293,12.335420,1.000000
12.436530,0.303330,77.333639,12.436530,1.000000
12.537640,0.404440,78.596208,12.537640,1.000000
12.638750,0.505550,79.869001,12.638750,1.000000
12.739860,0.606660,81.152016,12.739860,1.000000
12.840970,0.707770,82.445255,12.840970,1.000000
12.942080,0.808880,83.748717,12.942080,1.000000
13.043190,0.909990,85.062403,13.043190,1.000000
13.144300,1.011100,86.386311,13.144300,1.000000
global_time,t,p,v,a
13.144300,0.000000,86.386311,13.144300,1.000000
13.245410,0.101110,87.720443,13.245410,1.000000
13.346520,0.202220,89.064798,13.346520,1.000000
13.447630,0.303330,90.419376,13.447630,1.000000
13.548740,0.404440,91.784178,13.548740,1.000000
13.649850,0.505550,93.159203,13.649850,1.000000
13.750960,0.606660,94.544450,13.750960,1.000000
13.852070,0.707770,95.939922,13.852070,1.000000
13.953180,0.808880,97.345616,13.953180,1.000000
14.054290,0.909990,98.761534,14.054290,1.000000
14.155400,1.011100,100.187675,14.155400,1.000000
global_time,t,p,v,a
14.155400,0.000000,100.187675,14.155400,1.000000
14.256510,0.101110,101.624039,14.256510,1.000000
14.357620,0.202220,103.070626,14.357620,1.000000
14.458730,0.303330,104.527437,14.458730,1.000000
14.559840,0.404440,105.994470,14.559840,1.000000
14.660950,0.505550,107.471727,14.660950,1.000000
14.762060,0.606660,108.959208,14.762060,1.000000
14.863170,0.707770,110.456911,14.863170,1.000000
14.964280,0.808880,111.964838,14.964280,1.000000
15.065390,0.909990,113.482988,15.065390,1.000000
15.166500,1.011100,115.011361,15.166500,1.000000
global_time,t,p,v,a
15.166500,0.000000,115.011361,15.166500,1.000000
15.267610,0.101110,116.549958,15.267610,1.000000
15.368720,0.202220,118.098777,15.368720,1.000000
15.469830,0.303330,119.657820,15.469830,1.000000
15.570940,0.404440,121.227086,15.570940,1.000000
15.672050,0.505550,122.806576,15.672050,1.000000
15.773160,0.606660,124.396288,15.773160,1.000000
15.874270,0.707770,125.996224,15.874270,1.000000
15.975380,0.808880,127.606383,15.975380,1.000000
16.076490,0.909990,129.226765,16.076490,1.000000
16.177600,1.011100,130.857371,16.177600,1.000000
global_time,t,p,v,a
16.177600,0.000000,130.857371,16.177600,1.000000
16.278710,0.101110,132.498200,16.278710,1.000000
16.379820,0.202220,134.149252,16.379820,1.000000
16.480930,0.303330,135.810527,16.480930,1.000000
16.582040,0.404440,137.482025,16.582040,1.000000
16.683150,0.505550,139.163747,16.683150,1.000000
16.784260,0.606660,140.855692,16.784260,1.000000
16.885370,0.707770,142.557860,16.885370,1.000000
16.986480,0.808880,144.270251,16.986480,1.000000
17.087590,0.909990,145.992866,17.087590,1.000000
17.188700,1.011100,147.725704,17.188700,1.000000
global_time,t,p,v,a
17.188700,0.000000,147.725704,17.188700,1.000000
17.289810,0.101110,149.468765,17.289810,1.000000
17.390920,0.202220,151.222049,17.390920,1.000000
17.492030,0.303330,152.985557,17.492030,1.000000
17.593140,0.404440,154.759288,17.593140,1.000000
17.694250,0.505550,156.543242,17.694250,1.000000
17.795360,0.606660,158.337419,17.795360,1.000000
17.896470,0.707770,160.141819,17.896470,1.000000
17.997580,0.808880,161.956443,17.997580,1.000000
18.098690,0.909990,163.781290,18.098690,1.000000
18.199800,1.011100,165.616360,18.199800,1.000000
global_time,t,p,v,a
18.199800,0.000000,165.616360,18.199800,1.000000
18.300910,0.101110,167.461653,18.300910,1.000000
18.402020,0.202220,169.317170,18.402020,1.000000
18.503130,0.303330,171.182910,18.503130,1.000000
18.604240,0.404440,173.058873,18.604240,1.000000
18.705350,0.505550,174.945059,18.705350,1.000000
18.806460,0.606660,176.841469,18.806460,1.000000
18.907570,0.707770,178.748102,18.907570,1.000000
19.008680,0.808880,180.664958,19.008680,1.000000
19.109790,0.909990,182.592037,19.109790,1.000000
19.210900,1.011100,184.529339,19.210900,1.000000
global_time,t,p,v,a
19.210900,0.000000,184.529339,19.210900,1.000000
19.312010,0.101110,186.476865,19.312010,1.000000
19.413120,0.202220,188.434614,19.413120,1.000000
19.514230,0.303330,190.402586,19.514230,1.000000
19.615340,0.404440,192.380782,19.615340,1.000000
19.716450,0.505550,194.369200,19.716450,1.000000
19.817560,0.606660,196.367842,19.817560,1.000000
19.918670,0.707770,198.376707,19.918670,1.000000
20.019780,0.808880,200.395796,20.019780,1.000000
20.120890,0.909990,202.425107,20.120890,1.000000
20.222000,1.011100,204.464642,20.222000,1.000000
global_time,t,p,v,a
20.222000,0.000000,204.464642,20.222000,1.000000
20.323110,0.101110,206.514400,20.323110,1.000000
20.424220,0.202220,208.574381,20.424220,1.000000
20.525330,0.303330,210.644586,20.525330,1.000000
20.626440,0.404440,212.725014,20.626440,1.000000
20.727550,0.505550,214.815665,20.727550,1.000000
20.828660,0.606660,216.916539,20.828660,1.000000
20.929770,0.707770,219.027636,20.929770,1.000000
21.030880,0.808880,221.148957,21.030880,1.000000
21.131990,0.909990,223.280501,21.131990,1.000000
21.233100,1.011100,225.422268,21.233100,1.000000
global_time,t,p,v,a
21.233100,0.000000,225.422268,21.233100,1.000000
21.334210,0.101110,227.574258,21.334210,1.000000
21.435320,0.202220,229.736472,21.435320,1.000000
21.536430,0.303330,231.908909,21.536430,1.000000
21.637540,0.404440,234.091569,21.637540,1.000000
21.738650,0.505550,236.284452,21.738650,1.000000
21.839760,0.606660,238.487558,21.839760,1.000000
21.940870,0.707770,240.700888,21.940870,1.000000
22.041980,0.808880,242.924441,22.041980,1.000000
22.143090,0.909990,245.158217,22.143090,1.000000
22.244200,1.011100,247.402217,22.244200,1.000000
global_time,t,p,v,a
22.244200,0.000000,247.402217,22.244200,1.000000
22.345310,0.101110,249.656439,22.345310,1.000000
22.446420,0.202220,251.920885,22.446420,1.000000
22.547530,0.303330,254.195555,22.547530,1.000000
22.648640,0.404440,256.480447,22.648640,1.000000
22.749750,0.505550,258.775563,22.749750,1.000000
22.850860,0.606660,261.080901,22.850860,1.000000
22.951970,0.707770,263.396463,22.951970,1.000000
23.053080,0.808880,265.722249,23.053080,1.000000
23.154190,0.909990,268.058257,23.154190,1.000000
23.255300,1.011100,270.404489,23.255300,1.000000
global_time,t,p,v,a
23.255300,0.000000,270.404489,23.255300,1.000000
23.356410,0.101110,272.760944,23.356410,1.000000
23.457520,0.202220,275.127622,23.457520,1.000000
23.558630,0.303330,277.504524,23.558630,1.000000
23.659740,0.404440,279.891648,23.659740,1.000000
23.760850,0.505550,282.288996,23.760850,1.000000
23.861960,0.606660,284.696568,23.861960,1.000000
23.963070,0.707770,287.114362,23.963070,1.000000
24.064180,0.808880,289.542380,24.064180,1.000000
24.165290,0.909990,291.980620,24.165290,1.000000
24.266400,1.011100,294.429084,24.266400,1.000000
global_time,t,p,v,a
24.266400,0.000000,294.429084,24.266400,1.000000
24.367510,0.101110,296.887772,24.367510,1.000000
24.468620,0.202220,299.356682,24.468620,1.000000
24.569730,0.303330,301.835816,24.569730,1.000000
24.670840,0.404440,304.325173,24.670840,1.000000
24.771950,0.505550,306.824753,24.771950,1.000000
24.873060,0.606660,309.334557,24.873060,1.000000
24.974170,0.707770,311.854584,24.974170,1.000000
25.075280,0.808880,314.384834,25.075280,1.000000
25.176390,0.909990,316.925307,25.176390,1.000000
25.277500,1.011100,319.476003,25.277500,1.000000
global_time,t,p,v,a
25.277500,0.000000,319.476003,25.277500,1.000000
25.378610,0.101110,322.036923,25.378610,1.000000
25.479720,0.202220,324.608066,25.479720,1.000000
25.580830,0.303330,327.189432,25.580830,1.000000
25.681940,0.404440,329.781021,25.681940,1.000000
25.783050,0.505550,332.382834,25.783050,1.000000
25.884160,0.606660,334.994869,25.884160,1.000000
25.985270,0.707770,337.617128,25.985270,1.000000
26.086380,0.808880,340.249611,26.086380,1.000000
26.187490,0.909990,342.892316,26.187490,1.000000
26.288600,1.011100,345.545245,26.288600,1.000000
global_time,t,p,v,a
26.288600,0.000000,345.545245,26.288600,1.000000
26.389710,0.101110,348.208397,26.389710,1.000000
26.490820,0.202220,350.881772,26.490820,1.000000
26.591930,0.303330,353.565371,26.591930,1.000000
26.693040,0.404440,356.259192,26.693040,1.000000
26.794150,0.505550,358.963237,26.794150,1.000000
26.895260,0.606660,361.677505,26.895260,1.000000
26.996370,0.707770,364.401997,26.996370,1.000000
27.097480,0.808880,367.136711,27.097480,1.000000
27.198590,0.909990,369.881649,27.198590,1.000000
27.299700,1.011100,372.636810,27.299700,1.000000
global_time,t,p,v,a
27.299700,0.000000,372.636810,27.299700,1.000000
27.400810,0.101110,375.402194,27.400810,1.000000
27.501920,0.202220,378.177802,27.501920,1.000000
27.603030,0.303330,380.963633,27.603030,1.000000
27.704140,0.404440,383.759687,27.704140,1.000000
27.805250,0.505550,386.565964,27.805250,1.000000
27.906360,0.606660,389.382464,27.906360,1.000000
28.007470,0.707770,392.209188,28.007470,1.000000
28.108580,0.808880,395.046135,28.108580,1.000000
28.209690,0.909990,397.893305,28.209690,1.000000
28.310800,1.011100,400.750698,28.310800,1.000000
global_time,t,p,v,a
28.310800,0.000000,400.750698,28.310800,1.000000
28.411910,0.101110,403.618315,28.411910,1.000000
28.513020,0.202220,406.496155,28.513020,1.000000
28.614130,0.303330,409.384218,28.614130,1.000000
28.715240,0.404440,412.282504,28.715240,1.000000
28.816350,0.505550,415.191014,28.816350,1.000000
28.917460,0.606660,418.109746,28.917460,1.000000
29.018570,0.707770,421.038702,29.018570,1.000000
29.119680,0.808880,423.977882,29.119680,1.000000
29.220790,0.909990,426.927284,29.220790,1.000000
29.321900,1.011100,429.886910,29.321900,1.000000
global_time,t,p,v,a
29.321900,0.000000,429.886910,29.321900,1.000000
29.423010,0.101110,432.856759,29.423010,1.000000
29.524120,0.202220,435.836831,29.524120,1.000000
29.625230,0.303330,438.827126,29.625230,1.000000
29.726340,0.404440,441.827645,29.726340,1.000000
29.827450,0.505550,444.838387,29.827450,1.000000
29.928560,0.606660,447.859352,29.928560,1.000000
30.029670,0.707770,450.890540,30.029670,1.000000
30.130780,0.808880,453.931952,30.130780,1.000000
30.231890,0.909990,456.983586,30.231890,1.000000
30.333000,1.011100,460.045445,30.333000,1.000000
global_time,t,p,v,a
30.333000,0.000000,460.045445,30.333000,1.000000
30.434110,0.101110,463.117526,30.434110,1.000000
30.535220,0.202220,466.199830,30.535220,1.000000
30.636330,0.303330,469.292358,30.636330,1.000000
30.737440,0.404440,472.395109,30.737440,1.000000
30.838550,0.505550,475.508083,30.838550,1.000000
30.939660,0.606660,478.631280,30.939660,1.000000
31.040770,0.707770,481.764701,31.040770,1.000000
31.141880,0.808880,484.908345,31.141880,1.000000
31.242990,0.909990,488.062212,31.242990,1.000000
31.344100,1.011100,491.226302,31.344100,1.000000
global_time,t,p,v,a
31.344100,0.000000,491.226302,31.344100,1.000000
31.445210,0.101110,494.400616,31.445210,1.000000
31.546320,0.202220,497.585153,31.546320,1.000000
31.647430,0.303330,500.779913,31.647430,1.000000
31.748540,0.404440,503.984896,31.748540,1.000000
31.849650,0.505550,507.200103,31.849650,1.000000
31.950760,0.606660,510.425532,31.950760,1.000000
32.051870,0.707770,513.661185,32.051870,1.000000
32.152980,0.808880,516.907061,32.152980,1.000000
32.254090,0.909990,520.163161,32.254090,1.000000
32.355200,1.011100,523.429484,32.355200,1.000000
global_time,t,p,v,a
32.355200,0.000000,523.429484,32.355200,1.000000
32.456310,0.101110,526.706029,32.456310,1.000000
32.557420,0.202220,529.992799,32.557420,1.000000
32.658530,0.303330,533.289791,32.658530,1.000000
32.759640,0.404440,536.597006,32.759640,1.000000
32.860750,0.505550,539.914445,32.860750,1.000000
32.961860,0.606660,543.242107,32.961860,1.000000
33.062970,0.707770,546.579993,33.062970,1.000000
33.164080,0.808880,549.928101,33.164080,1.000000
33.265190,0.909990,553.286433,33.265190,1.000000
33.366300,1.011100,556.654988,33.366300,1.000000
global_time,t,p,v,a
33.366300,0.000000,556.654988,33.366300,1.000000
33.467410,0.101110,560.033766,33.467410,1.000000
33.568520,0.202220,563.422767,33.568520,1.000000
33.669630,0.303330,566.821992,33.669630,1.000000
33.770740,0.404440,570.231440,33.770740,1.000000
33.871850,0.505550,573.651111,33.871850,1.000000
33.972960,0.606660,577.081006,33.972960,1.000000
34.074070,0.707770,580.521123,34.074070,1.000000
34.175180,0.808880,583.971464,34.175180,1.000000
34.276290,0.909990,587.432028,34.276290,1.000000
34.377400,1.011100,590.902815,34.377400,1.000000
global_time,t,p,v,a
34.377400,0.000000,590.902815,34.377400,1.000000
34.478510,0.101110,594.383826,34.478510,1.000000
34.579620,0.202220,597.875060,34.579620,1.000000
34.680730,0.303330,601.376517,34.680730,1.000000
34.781840,0.404440,604.888197,34.781840,1.000000
34.882950,0.505550,608.410100,34.882950,1.000000
34.984060,0.606660,611.942227,34.984060,1.000000
35.085170,0.707770,615.484577,35.085170,1.000000
35.186280,0.808880,619.037150,35.186280,1.000000
35.287390,0.909990,622.599947,35.287390,1.000000
35.388500,1.011100,626.172966,35.388500,1.000000
global_time,t,p,v,a
35.388500,0.000000,626.172966,35.388500,1.000000
35.489610,0.101110,629.756209,35.489610,1.000000
35.590720,0.202220,633.349675,35.590720,1.000000
35.691830,0.303330,636.953364,35.691830,1.000000
35.792940,0.404440,640.567277,35.792940,1.000000
35.894050,0.505550,644.191413,35.894050,1.000000
35.995160,0.606660,647.825772,35.995160,1.000000
36.096270,0.707770,651.470354,36.096270,1.000000
36.197380,0.808880,655.125159,36.197380,1.000000
36.298490,0.909990,658.790188,36.298490,1.000000
36.399600,1.011100,662.465440,36.399600,1.000000
global_time,t,p,v,a
36.399600,0.000000,662.465440,36.399600,1.000000
36.500710,0.101110,666.150915,36.500710,1.000000
36.601820,0.202220,669.846614,36.601820,1.000000
36.702930,0.303330,673.552535,36.702930,1.000000
36.804040,0.404440,677.268680,36.804040,1.000000
36.905150,0.505550,680.995048,36.905150,1.000000
37.006260,0.606660,684.731640,37.006260,1.000000
37.107370,0.707770,688.478454,37.107370,1.000000
37.208480,0.808880,692.235492,37.208480,1.000000
37.309590,0.909990,696.002753,37.309590,1.000000
37.410700,1.011100,699.780237,37.410700,1.000000
global_time,t,p,v,a
37.410700,0.000000,699.780237,37.410700,1.000000
37.511810,0.101110,703.567945,37.511810,1.000000
37.612920,0.202220,707.365875,37.612920,1.000000
37.714030,0.303330,711.174029,37.714030,1.000000
37.815140,0.404440,714.992407,37.815140,1.000000
37.916250,0.505550,718.821007,37.916250,1.000000
38.017360,0.606660,722.659831,38.017360,1.000000
38.118470,0.707770,726.508878,38.118470,1.000000
38.219580,0.808880,730.368148,38.219580,1.000000
38.320690,0.909990,734.237641,38.320690,1.000000
38.421800,1.011100,738.117358,38.421800,1.000000
global_time,t,p,v,a
38.421800,0.000000,738.117358,38.421800,1.000000
38.522910,0.101110,742.007297,38.522910,1.000000
38.624020,0.202220,745.907460,38.624020,1.000000
38.725130,0.303330,749.817847,38.725130,1.000000
38.826240,0.404440,753.738456,38.826240,1.000000
38.927350,0.505550,757.669289,38.927350,1.000000
39.028460,0.606660,761.610345,39.028460,1.000000
39.129570,0.707770,765.561624,39.129570,1.000000
39.230680,0.808880,769.523127,39.230680,1.000000
39.331790,0.909990,773.494852,39.331790,1.000000
39.432900,1.011100,777.476801,39.432900,1.000000
global_time,t,p,v,a
39.432900,0.000000,777.476801,39.432900,0.000000
39.534010,0.101110,781.463862,39.432900,0.000000
39.635120,0.202220,785.450922,39.432900,0.000000
39.736230,0.303330,789.437983,39.432900,0.000000
39.837340,0.404440,793.425043,39.432900,0.000000
39.938450,0.505550,797.412104,39.432900,0.000000
40.039560,0.606660,801.399164,39.432900,0.000000
40.140670,0.707770,805.386225,39.432900,0.000000
40.241780,0.808880,809.373285,39.432900,0.000000
40.342890,0.909990,813.360346,39.432900,0.000000
40.444000,1.011100,817.347406,39.432900,0.000000
global_time,t,p,v,a
40.444000,0.000000,817.347406,39.432900,0.000000
40.545110,0.101110,821.334467,39.432900,0.000000
40.646220,0.202220,825.321527,39.432900,0.000000
40.747330,0.303330,829.308588,39.432900,0.000000
40.848440,0.404440,833.295648,39.432900,0.000000
40.949550,0.505550,837.282709,39.432900,0.000000
41.050660,0.606660,841.269770,39.432900,0.000000
41.151770,0.707770,845.256830,39.432900,0.000000
41.252880,0.808880,849.243891,39.432900,0.000000
41.353990,0.909990,853.230951,39.432900,0.000000
41.455100,1.011100,857.218012,39.432900,0.000000
global_time,t,p,v,a
41.455100,0.000000,857.218012,39.432900,0.000000
41.556210,0.101110,861.205072,39.432900,0.000000
41.657320,0.202220,865.192133,39.432900,0.000000
41.758430,0.303330,869.179193,39.432900,0.000000
41.859540,0.404440,873.166254,39.432900,0.000000
41.960650,0.505550,877.153314,39.432900,0.000000
42.061760,0.606660,881.140375,39.432900,0.000000
42.162870,0.707770,885.127435,39.432900,0.000000
42.263980,0.808880,889.114496,39.432900,0.000000
42.365090,0.909990,893.101556,39.432900,0.000000
42.466200,1.011100,897.088617,39.432900,0.000000
global_time,t,p,v,a
42.466200,0.000000,897.088617,39.432900,0.000000
42.567310,0.101110,901.075677,39.432900,0.000000
42.668420,0.202220,905.062738,39.432900,0.000000
42.769530,0.303330,909.049798,39.432900,0.000000
42.870640,0.404440,913.036859,39.432900,0.000000
42.971750,0.505550,917.023919,39.432900,0.000000
43.072860,0.606660,921.010980,39.432900,0.000000
43.173970,0.707770,924.998040,39.432900,0.000000
43.275080,0.808880,928.985101,39.432900,0.000000
43.376190,0.909990,932.972161,39.432900,0.000000
43.477300,1.011100,936.959222,39.432900,0.000000
global_time,t,p,v,a
43.477300,0.000000,936.959222,39.432900,0.000000
43.578410,0.101110,940.946282,39.432900,0.000000
43.679520,0.202220,944.933343,39.432900,0.000000
43.780630,0.303330,948.920404,39.432900,0.000000
43.881740,0.404440,952.907464,39.432900,0.000000
43.982850,0.505550,956.894525,39.432900,0.000000
44.083960,0.606660,960.881585,39.432900,0.000000
44.185070,0.707770,964.868646,39.432900,0.000000
44.286180,0.808880,968.855706,39.432900,0.000000
44.387290,0.909990,972.842767,39.432900,0.000000
44.488400,1.011100,976.829827,39.432900,0.000000
global_time,t,p,v,a
44.488400,0.000000,976.829827,39.432900,0.000000
44.589510,0.101110,980.816888,39.432900,0.000000
44.690620,0.202220,984.803948,39.432900,0.000000
44.791730,0.303330,988.791009,39.432900,0.000000
44.892840,0.404440,992.778069,39.432900,0.000000
44.993950,0.505550,996.765130,39.432900,0.000000
45.095060,0.606660,1000.752190,39.432900,0.000000
45.196170,0.707770,1004.739251,39.432900,0.000000
45.297280,0.808880,1008.726311,39.432900,0.000000
45.398390,0.909990,1012.713372,39.432900,0.000000
45.499500,1.011100,1016.700432,39.432900,0.000000
global_time,t,p,v,a
45.499500,0.000000,1016.700432,39.432900,0.000000
45.600610,0.101110,1020.687493,39.432900,0.000000
45.701720,0.202220,1024.674553,39.432900,0.000000
45.802830,0.303330,1028.661614,39.432900,0.000000
45.903940,0.404440,1032.648674,39.432900,0.000000
46.005050,0.505550,1036.635735,39.432900,0.000000
46.106160,0.606660,1040.622795,39.432900,0.000000
46.207270,0.707770,1044.609856,39.432900,0.000000
46.308380,0.808880,1048.596916,39.432900,0.000000
46.409490,0.909990,1052.583977,39.432900,0.000000
46.510600,1.011100,1056.571038,39.432900,0.000000
global_time,t,p,v,a
46.510600,0.000000,1056.571038,39.432900,0.000000
46.611710,0.101110,1060.558098,39.432900,0.000000
46.712820,0.202220,1064.545159,39.432900,0.000000
46.813930,0.303330,1068.532219,39.432900,0.000000
46.915040,0.404440,1072.519280,39.432900,0.000000
47.016150,0.505550,1076.506340,39.432900,0.000000
47.117260,0.606660,1080.493401,39.432900,0.000000
47.218370,0.707770,1084.480461,39.432900,0.000000
47.319480,0.808880,1088.467522,39.432900,0.000000
47.420590,0.909990,1092.454582,39.432900,0.000000
47.521700,1.011100,1096.441643,39.432900,0.000000
global_time,t,p,v,a
47.521700,0.000000,1096.441643,39.432900,0.000000
47.622810,0.101110,1100.428703,39.432900,0.000000
47.723920,0.202220,1104.415764,39.432900,0.000000
47.825030,0.303330,1108.402824,39.432900,0.000000
47.926140,0.404440,1112.389885,39.432900,0.000000
48.027250,0.505550,1116.376945,39.432900,0.000000
48.128360,0.606660,1120.364006,39.432900,0.000000
48.229470,0.707770,1124.351066,39.432900,0.000000
48.330580,0.808880,1128.338127,39.432900,0.000000
48.431690,0.909990,1132.325187,39.432900,0.000000
48.532800,1.011100,1136.312248,39.432900,0.000000
global_time,t,p,v,a
48.532800,0.000000,1136.312248,39.432900,0.000000
48.633910,0.101110,1140.299308,39.432900,0.000000
48.735020,0.202220,1144.286369,39.432900,0.000000
48.836130,0.303330,1148.273429,39.432900,0.000000
48.937240,0.404440,1152.260490,39.432900,0.000000
